_RAJ2000,_DEJ2000,src,_ID,_tab1_31,_tab1_32,sed_freq,fl,efl,band,wl,fit,abs_dif,pct_dif
54.819838,-42.762552,II/346/jsdc_v2,recno=48856,,0.0,563630.0,1.85,0.02,HIP:VT,0.532264,1.7294520873161927,0.06516104593086747,0.06516104593086747
54.819838,-42.762552,J/AJ/147/86/table4,recno=937,,0.0,380160.0,2.18,0.21800001,Cousins:I,0.789141,2.281583467165473,0.04659788866858994,-0.04659788866858994
54.819843,-42.76255,J/PASP/120/1128/catalog,recno=1015609,,0.0,239830.0,2.03,0.04,Johnson:J,1.250886,1.9464309947666603,0.04116698413837789,0.04116698413837789
54.819855,-42.762566,II/246/out,"2MASS===03391676-4245452 &-c=054.819855 -42.762566,eq=J2000&-c.r",2451438.7671,4700.0,183920.0,1.59,0.06,Johnson:H,1.631144,1.6979546217730388,0.06789596611834299,-0.06789596611834299
54.819852,-42.762552,I/322A/out,"UCAC4===237-003610&-c=054.8198518 -42.7625525,eq=J2000&-c.rs=0.0",,0.0,181750.0,1.6,0.06,2MASS:H,1.650619,1.6630447386175435,0.03940294614765386,-0.03940294614765386
54.819855,-42.762566,II/246/out,"2MASS===03391676-4245452 &-c=054.819855 -42.762566,eq=J2000&-c.r",2451438.7671,4700.0,136890.0,1.05,0.03,Johnson:K,2.191541,1.0705844660533728,0.019604299687518513,-0.019604299687518513
54.819841,-42.762551,IV/38/tic,"-c=054.81984093495 -42.76255130080,eq=J2000&-c.rs=0.004",,0.0,89490.0,0.526,0.029,WISE:W1,3.35233,0.5107397921811672,0.029011844188190142,0.029011844188190142
54.819838,-42.762552,II/346/jsdc_v2,recno=48856,,0.0,88174.0,0.495,0.027,Johnson:L,3.402364,0.49558576338785926,0.0011833507350404427,-0.0011833507350404427
54.819841,-42.762551,IV/38/tic,"-c=054.81984093495 -42.76255130080,eq=J2000&-c.rs=0.004",,0.0,65172.0,0.288,0.005,WISE:W2,4.603204,0.27303056590264774,0.051977160916620954,0.051977160916620954
54.819838,-42.762552,II/346/jsdc_v2,recno=48856,,0.0,59601.0,0.267,0.005,Johnson:M,5.033473,0.24126050986282013,0.09640255008801424,0.09640255008801424
54.81984,-42.762552,J/MNRAS/471/770/table2,recno=15519,,0.0,34819.0,0.0912,0.0091200005,AKARI:S9W,8.615986,0.08657524560659835,0.05071004225021481,0.05071004225021481
54.819841,-42.762551,IV/38/tic,"-c=054.81984093495 -42.76255130080,eq=J2000&-c.rs=0.004",,0.0,25934.0,0.048,0.0007,WISE:W3,11.567826,0.048323810914465956,0.006746051967057718,-0.006746051967057718
